,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,76.58139038085938,157.61993408203125,312.1543884277344,35.861331939697266,78.16999816894531,162.1300048828125,327.45001220703125,35.861331939697266,79.39250183105469,163.60000610351562,328.6199951171875,36.49399948120117,78.0425033569336,161.72000122070312,326.8399963378906,34.99333190917969,79.17500305175781,163.38999938964844,327.4700012207031,36.284000396728516,161954400.0,23477400,62832800.0,434943000.0
2020-01-15,76.25321197509766,158.64071655273438,312.85980224609375,34.56666564941406,77.83499908447266,163.17999267578125,328.19000244140625,34.56666564941406,78.875,163.94000244140625,329.0199890136719,35.85599899291992,77.38749694824219,162.57000732421875,327.260009765625,34.452667236328125,77.9625015258789,162.6199951171875,327.3500061035156,35.31733322143555,121923600.0,21417900,72056600.0,260532000.0
2020-01-16,77.20838928222656,161.54757690429688,315.4623107910156,34.232666015625,78.80999755859375,166.1699981689453,330.9200134277344,34.232666015625,78.92500305175781,166.24000549316406,330.9200134277344,34.297332763671875,78.02249908447266,164.02999877929688,329.45001220703125,32.81133270263672,78.39749908447266,164.35000610351562,329.70001220703125,32.91666793823242,108829200.0,23865400,54050300.0,326050500.0
2020-01-17,78.06314086914062,162.4517059326172,316.4442138671875,34.03333282470703,79.68250274658203,167.10000610351562,331.95001220703125,34.03333282470703,79.68499755859375,167.47000122070312,332.17999267578125,34.37799835205078,78.75,165.42999267578125,330.8500061035156,33.54399871826172,79.06749725341797,167.4199981689453,331.70001220703125,33.840667724609375,137816400.0,34371700,95846000.0,204436500.0
2020-01-21,77.53414154052734,161.86837768554688,315.82452392578125,36.47999954223633,79.14250183105469,166.5,331.29998779296875,36.47999954223633,79.75499725341797,168.19000244140625,332.17999267578125,36.571998596191406,79.0,166.42999267578125,330.82000732421875,35.227333068847656,79.29750061035156,166.67999267578125,330.8999938964844,35.349998474121094,110843200.0,29517200,77742400.0,267052500.0
2020-01-22,77.81087493896484,161.09060668945312,315.8627014160156,37.97066879272461,79.42500305175781,165.6999969482422,331.3399963378906,37.97066879272461,79.99749755859375,167.49000549316406,332.95001220703125,39.633331298828125,79.32749938964844,165.67999267578125,331.1700134277344,37.27333450317383,79.6449966430664,167.39999389648438,332.239990234375,38.125999450683594,101832400.0,24138800,48914900.0,470535000.0
2020-01-23,78.18561553955078,162.082275390625,316.2249450683594,38.14666748046875,79.80750274658203,166.72000122070312,331.7200012207031,38.14666748046875,79.88999938964844,166.8000030517578,332.1700134277344,38.79999923706055,78.9124984741211,165.27000427246094,329.4100036621094,37.040000915527344,79.4800033569336,166.19000244140625,330.6300048828125,37.616668701171875,104472000.0,19680800,51963000.0,294765000.0
2020-01-24,77.96028900146484,160.44900512695312,313.4126892089844,37.654666900634766,79.57749938964844,165.0399932861328,328.7699890136719,37.654666900634766,80.8324966430664,167.52999877929688,332.5299987792969,38.25733184814453,79.37999725341797,164.4499969482422,327.3599853515625,36.95066833496094,80.0625,167.50999450683594,332.44000244140625,38.04199981689453,146537600.0,24918100,87578400.0,215304000.0
2020-01-27,75.6678466796875,157.76577758789062,308.3889465332031,37.201332092285156,77.23750305175781,162.27999877929688,323.5,37.201332092285156,77.94249725341797,163.3800048828125,325.1199951171875,37.62933349609375,76.22000122070312,160.1999969482422,322.6600036621094,35.95199966430664,77.51499938964844,161.14999389648438,323.0299987792969,36.132667541503906,161940000.0,32078100,84062500.0,204121500.0
2020-01-28,77.80843353271484,160.85731506347656,311.62060546875,37.793331146240234,79.42250061035156,165.4600067138672,326.8900146484375,37.793331146240234,79.5999984741211,165.75999450683594,327.8500061035156,38.45399856567383,78.04750061035156,163.07000732421875,323.6000061035156,37.2053337097168,78.1500015258789,163.77999877929688,325.05999755859375,37.89933395385742,162234000.0,24899900,63834000.0,176827500.0
2020-01-29,79.43714904785156,163.3655548095703,311.3631591796875,38.732666015625,81.08499908447266,168.0399932861328,326.6199951171875,38.732666015625,81.9625015258789,168.75,328.6300048828125,39.31999969482422,80.34500122070312,165.69000244140625,326.3999938964844,37.82866668701172,81.11250305175781,167.83999633789062,328.3800048828125,38.37933349609375,216229200.0,34754500,53888900.0,267022500.0
2020-01-30,79.32203674316406,167.97369384765625,312.3736572265625,42.72066879272461,80.96749877929688,172.77999877929688,327.67999267578125,42.72066879272461,81.02249908447266,174.0500030517578,327.9100036621094,43.391998291015625,79.6875,170.7899932861328,323.5400085449219,41.20000076293945,80.13500213623047,174.0500030517578,324.3599853515625,42.16133117675781,126743200.0,51597500,75491800.0,435085500.0
2020-01-31,75.80500030517578,165.49459838867188,306.7015686035156,43.371334075927734,77.37750244140625,170.22999572753906,321.7300109863281,43.371334075927734,80.66999816894531,172.39999389648438,327.1700134277344,43.53333282470703,77.07250213623047,169.5800018310547,320.7300109863281,42.167999267578125,80.23249816894531,172.2100067138672,327.0,42.66666793823242,199588400.0,36142700,113845600.0,235789500.0
2020-02-03,75.5968246459961,169.5291748046875,308.97991943359375,52.0,77.16500091552734,174.3800048828125,324.1199951171875,52.0,78.37249755859375,174.5,326.1600036621094,52.409332275390625,75.55500030517578,170.39999389648438,323.2200012207031,44.90133285522461,76.07499694824219,170.42999267578125,323.3500061035156,44.91266632080078,173788400.0,30107000,69083000.0,705975000.0
2020-02-04,78.09254455566406,175.1094970703125,313.689208984375,59.137332916259766,79.7125015258789,180.1199951171875,329.05999755859375,59.137332916259766,79.91000366210938,180.63999938964844,330.010009765625,64.59933471679688,78.40750122070312,176.30999755859375,327.7200012207031,55.59199905395508,78.82749938964844,177.13999938964844,328.07000732421875,58.86399841308594,136616400.0,36433300,62573200.0,914082000.0
2020-02-05,78.7293472290039,174.8956298828125,317.3116455078125,48.97999954223633,80.36250305175781,179.89999389648438,332.8599853515625,48.97999954223633,81.19000244140625,184.1999969482422,333.0899963378906,56.39866638183594,79.73750305175781,178.41000366210938,330.6700134277344,46.94066619873047,80.87999725341797,184.02999877929688,332.2699890136719,54.88399887084961,118826800.0,39186300,65951100.0,726357000.0
2020-02-06,79.65022277832031,178.52183532714844,318.37939453125,49.930667877197266,81.30249786376953,183.6300048828125,333.9800109863281,49.930667877197266,81.30500030517578,183.82000732421875,334.19000244140625,53.05533218383789,80.06500244140625,180.05999755859375,332.79998779296875,45.79999923706055,80.64250183105469,180.97000122070312,333.9100036621094,46.66133117675781,105425600.0,27751400,50359700.0,598212000.0
2020-02-07,78.56757354736328,178.77464294433594,316.6824645996094,49.871334075927734,80.00749969482422,183.88999938964844,332.20001220703125,49.871334075927734,80.8499984741211,185.6300048828125,333.989990234375,51.31666564941406,79.5,182.47999572753906,331.6000061035156,48.66666793823242,80.59249877929688,182.85000610351562,332.82000732421875,48.70333480834961,117684000.0,33529100,64139400.0,255952500.0
2020-02-10,78.94073486328125,183.4508514404297,319.0466613769531,51.41866683959961,80.38749694824219,188.6999969482422,334.67999267578125,51.41866683959961,80.38749694824219,188.83999633789062,334.75,54.66600036621094,78.4625015258789,183.25,331.19000244140625,50.15999984741211,78.54499816894531,183.5800018310547,331.2300109863281,53.33333206176758,109348800.0,35844300,42070000.0,370338000.0
2020-02-11,78.46446228027344,179.30935668945312,319.5995788574219,51.62533187866211,79.90249633789062,184.44000244140625,335.260009765625,51.62533187866211,80.9749984741211,190.6999969482422,337.0199890136719,52.23400115966797,79.67749786376953,183.5,334.67999267578125,50.53333282470703,80.9000015258789,190.64999389648438,336.1600036621094,51.25266647338867,94323200.0,53159900,54864500.0,175462500.0
2020-02-12,80.32781219482422,179.57180786132812,321.6587219238281,51.15266799926758,81.80000305175781,184.7100067138672,337.4200134277344,51.15266799926758,81.80500030517578,185.85000610351562,337.6499938964844,52.650001525878906,80.36750030517578,181.85000610351562,336.42999267578125,50.891334533691406,80.36750030517578,185.5800018310547,336.8299865722656,51.858001708984375,113730400.0,47062900,43992700.0,180337500.0
2020-02-13,79.75579833984375,178.5996551513672,321.3155212402344,53.599998474121094,81.21749877929688,183.7100067138672,337.05999755859375,53.599998474121094,81.55500030517578,186.22999572753906,338.1199951171875,54.53333282470703,80.8375015258789,182.8699951171875,335.55999755859375,49.0,81.04750061035156,183.0800018310547,335.8599853515625,49.45600128173828,94747600.0,35295800,54501900.0,394339500.0
2020-02-14,79.77542877197266,180.1940155029297,321.8302307128906,53.33533477783203,81.23750305175781,185.35000610351562,337.6000061035156,53.33533477783203,81.49500274658203,185.41000366210938,337.7300109863281,54.198001861572266,80.7125015258789,182.64999389648438,336.20001220703125,52.366668701171875,81.18499755859375,183.25,337.510009765625,52.4813346862793,80113600.0,23149500,64582200.0,235405500.0
2020-02-18,78.31471252441406,182.021728515625,321.0009460449219,57.22666549682617,79.75,187.22999572753906,336.7300109863281,57.22666549682617,79.9375,187.6999969482422,337.6700134277344,57.33333206176758,78.65249633789062,185.5,335.2099914550781,55.490665435791016,78.83999633789062,185.61000061035156,336.510009765625,56.106666564941406,152531200.0,27792200,57226200.0,245725500.0
2020-02-19,79.44892120361328,182.567626953125,322.5357360839844,61.16133117675781,80.90499877929688,187.27999877929688,338.3399963378906,61.16133117675781,81.14250183105469,188.17999267578125,339.0799865722656,62.98533248901367,80.0,186.47000122070312,337.4800109863281,60.06800079345703,80.0,188.05999755859375,337.7900085449219,61.56666564941406,93984000.0,29997500,48814700.0,381345000.0
2020-02-20,78.63386535644531,179.77957153320312,321.2106628417969,59.96066665649414,80.07499694824219,184.4199981689453,336.95001220703125,59.96066665649414,81.1624984741211,187.25,338.6400146484375,60.79999923706055,79.55249786376953,181.10000610351562,333.67999267578125,57.3293342590332,80.65750122070312,186.9499969482422,337.739990234375,60.79666519165039,100566000.0,36862400,74163400.0,264523500.0
2020-02-21,76.85398864746094,174.09629821777344,317.90277099609375,60.06666564941406,78.26249694824219,178.58999633789062,333.4800109863281,60.06666564941406,80.11250305175781,183.5,335.80999755859375,60.87066650390625,77.625,177.25,332.5799865722656,58.6966667175293,79.65499877929688,183.1699981689453,335.4700012207031,60.46533203125,129554000.0,48572600,113788200.0,214722000.0
2020-02-24,73.20337677001953,166.5900421142578,307.3593444824219,55.58599853515625,74.54499816894531,170.88999938964844,322.4200134277344,55.58599853515625,76.04499816894531,174.5500030517578,333.55999755859375,57.56666564941406,72.30750274658203,163.22999572753906,321.239990234375,54.813331604003906,74.31500244140625,167.77000427246094,323.1400146484375,55.93333435058594,222195200.0,68311100,161088400.0,227883000.0
2020-02-25,70.72381591796875,163.8409881591797,298.04571533203125,53.32733154296875,72.0199966430664,168.07000732421875,312.6499938964844,53.32733154296875,75.63249969482422,174.83999633789062,324.6099853515625,57.106666564941406,71.53250122070312,167.64999389648438,311.69000244140625,52.46666717529297,75.23750305175781,174.1999969482422,323.94000244140625,56.599998474121094,230673600.0,68073300,218913200.0,259357500.0
